date,o_improvement,track,shortcut
1998-09-28,0,Luigi Raceway,No Shortcut
1998-10-01,2.5031289111390184e-4,Luigi Raceway,No Shortcut
1998-10-02,7.509386733417056e-4,Luigi Raceway,No Shortcut
1998-10-24,0.0017521902377971945,Luigi Raceway,No Shortcut
1998-12-24,0.00258656654151024,Luigi Raceway,No Shortcut
1998-12-28,0.003087192323738044,Luigi Raceway,No Shortcut
1998-12-31,0.003838130997079631,Luigi Raceway,No Shortcut
1999-05-17,0.004338756779307435,Luigi Raceway,No Shortcut
1999-09-07,0.004589069670421337,Luigi Raceway,No Shortcut
1999-09-27,0.004922820191906579,Luigi Raceway,No Shortcut
1999-10-26,0.0057571964956195055,Luigi Raceway,No Shortcut
1999-10-30,0.0100125156445556,Luigi Raceway,No Shortcut
2002-03-20,0.01009595327492694,Luigi Raceway,No Shortcut
2003-04-28,0.010262828535669502,Luigi Raceway,No Shortcut
2003-05-27,0.014267834793491814,Luigi Raceway,No Shortcut
2005-07-10,0.014434710054234376,Luigi Raceway,No Shortcut
2011-12-15,0.014851898206090957,Luigi Raceway,No Shortcut
2011-12-26,0.014935335836462178,Luigi Raceway,No Shortcut
2013-02-24,0.01510221109720486,Luigi Raceway,No Shortcut
2014-02-24,0.015269086357947301,Luigi Raceway,No Shortcut
2014-10-28,0.015435961618689983,Luigi Raceway,No Shortcut
2014-11-04,0.015519399249061204,Luigi Raceway,No Shortcut
2017-07-07,0.015519399249061204,Luigi Raceway,No Shortcut
2017-07-12,0.015602836879432662,Luigi Raceway,No Shortcut
2019-12-01,0.016103462661660347,Luigi Raceway,No Shortcut
2019-12-06,0.016103462661660347,Luigi Raceway,No Shortcut
2019-12-10,0.016186900292031688,Luigi Raceway,No Shortcut
2020-06-11,0.01643721318314559,Luigi Raceway,No Shortcut
2020-07-24,0.01652065081351681,Luigi Raceway,No Shortcut
2020-11-06,0.01735502711722974,Luigi Raceway,No Shortcut
1998-01-02,0,Luigi Raceway,Shortcut
1998-09-02,0.007819548872180462,Luigi Raceway,Shortcut
1998-10-08,0.019348370927318365,Luigi Raceway,Shortcut
1999-04-15,0.03829573934837086,Luigi Raceway,Shortcut
1999-11-02,0.05022556390977435,Luigi Raceway,Shortcut
2000-11-19,0.05373433583959899,Luigi Raceway,Shortcut
2012-08-30,0.06977443609022564,Luigi Raceway,Shortcut
2012-08-31,0.08150375939849619,Luigi Raceway,Shortcut
2017-04-25,0.1308270676691729,Luigi Raceway,Shortcut
1998-01-14,0,Moo Moo Farm,No Shortcut
1998-09-11,0.0024133391838525547,Moo Moo Farm,No Shortcut
1998-09-26,0.011189118034225494,Moo Moo Farm,No Shortcut
1999-09-20,0.0268758227292671,Moo Moo Farm,No Shortcut
2000-06-26,0.027972795085563815,Moo Moo Farm,No Shortcut
2000-08-21,0.02874067573497153,Moo Moo Farm,No Shortcut
2000-10-05,0.029837648091268088,Moo Moo Farm,No Shortcut
2002-04-26,0.03192189556823164,Moo Moo Farm,No Shortcut
2002-04-30,0.03345765686704692,Moo Moo Farm,No Shortcut
2003-03-28,0.03411584028082492,Moo Moo Farm,No Shortcut
2003-03-28,0.035432207108380756,Moo Moo Farm,No Shortcut
2003-04-03,0.03674857393593675,Moo Moo Farm,No Shortcut
2003-04-28,0.03839403247038175,Moo Moo Farm,No Shortcut
2005-03-14,0.039929793769197024,Moo Moo Farm,No Shortcut
2005-03-14,0.0417946467749013,Moo Moo Farm,No Shortcut
2007-03-07,0.04497586660816141,Moo Moo Farm,No Shortcut
2010-05-24,0.045524352786309695,Moo Moo Farm,No Shortcut
2010-05-25,0.04629223343571741,Moo Moo Farm,No Shortcut
2010-06-03,0.04662132514260641,Moo Moo Farm,No Shortcut
2010-06-05,0.04892496709082925,Moo Moo Farm,No Shortcut
2010-08-06,0.05057042562527424,Moo Moo Farm,No Shortcut
2010-11-01,0.05177709521720052,Moo Moo Farm,No Shortcut
2012-12-22,0.052435278630978514,Moo Moo Farm,No Shortcut
2013-12-19,0.052654673102237794,Moo Moo Farm,No Shortcut
2015-09-19,0.05451952610794207,Moo Moo Farm,No Shortcut
2015-10-12,0.05506801228609035,Moo Moo Farm,No Shortcut
2018-12-09,0.05660377358490563,Moo Moo Farm,No Shortcut
2019-04-18,0.05693286529179462,Moo Moo Farm,No Shortcut
2019-05-27,0.057261956998683625,Moo Moo Farm,No Shortcut
2020-02-18,0.05737165423431319,Moo Moo Farm,No Shortcut
1998-09-11,0,Koopa Troopa Beach,No Shortcut
1998-09-28,0.001318057386190768,Koopa Troopa Beach,No Shortcut
1998-10-02,0.0036500050694513357,Koopa Troopa Beach,No Shortcut
1999-08-14,0.011051404238061478,Koopa Troopa Beach,No Shortcut
